id,image,filename,label,weight,pred_seed42,conf_seed42,pred_seed43,conf_seed43,pred_seed44,conf_seed44,min_conf,mean_conf,source
617,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_00a215.jpg,pool_00a215.jpg,4,1.0,4,0.9097728729248047,4,0.9789530038833618,4,0.9517374038696289,0.9097728729248047,0.9468210935592651,scratch_consensus
618,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_00a528.jpg,pool_00a528.jpg,1,1.0,1,0.9523752927780151,1,0.935848593711853,1,0.9422072768211365,0.935848593711853,0.9434770544370016,scratch_consensus
619,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_00a68f.jpg,pool_00a68f.jpg,3,1.0,3,0.9433040022850037,3,0.9219048619270325,3,0.965238630771637,0.9219048619270325,0.943482498327891,scratch_consensus
627,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0107b3.jpg,pool_0107b3.jpg,1,1.0,1,0.9599934220314026,1,0.9537398219108582,1,0.9656129479408264,0.9537398219108582,0.959782063961029,scratch_consensus
628,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_012596.jpg,pool_012596.jpg,1,1.0,1,0.964531660079956,1,0.9645426273345947,1,0.9401811361312866,0.9401811361312866,0.9564184745152792,scratch_consensus
652,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_02ab07.jpg,pool_02ab07.jpg,1,1.0,1,0.9297089576721191,1,0.9272783398628235,1,0.9504143595695496,0.9272783398628235,0.9358005523681641,scratch_consensus
659,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_02e043.jpg,pool_02e043.jpg,1,1.0,1,0.9371972680091858,1,0.9439273476600647,1,0.9452499151229858,0.9371972680091858,0.9421248435974121,scratch_consensus
670,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_034e40.jpg,pool_034e40.jpg,1,1.0,1,0.9514854550361633,1,0.9371747374534607,1,0.9233701229095459,0.9233701229095459,0.93734343846639,scratch_consensus
674,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_03981a.jpg,pool_03981a.jpg,1,1.0,1,0.946793794631958,1,0.9495915174484253,1,0.9338786602020264,0.9338786602020264,0.9434213240941366,scratch_consensus
680,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_043c51.jpg,pool_043c51.jpg,1,1.0,1,0.964866042137146,1,0.9672743082046509,1,0.9405673742294312,0.9405673742294312,0.9575692415237427,scratch_consensus
684,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_04791e.jpg,pool_04791e.jpg,1,1.0,1,0.9397967457771301,1,0.9225358366966248,1,0.9319849014282227,0.9225358366966248,0.9314391613006592,scratch_consensus
688,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_048f4d.jpg,pool_048f4d.jpg,5,1.0,5,0.9177958369255066,5,0.9238716959953308,5,0.9204281568527222,0.9177958369255066,0.9206985632578532,scratch_consensus
696,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_04c790.jpg,pool_04c790.jpg,1,1.0,1,0.9470064640045166,1,0.9389566779136658,1,0.9341346025466919,0.9341346025466919,0.9400325814882914,scratch_consensus
706,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_053d59.jpg,pool_053d59.jpg,2,1.0,2,0.92863529920578,2,0.9005838632583618,2,0.9126929044723511,0.9005838632583618,0.9139706889788309,scratch_consensus
713,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_057bce.jpg,pool_057bce.jpg,5,1.0,5,0.9378604292869568,5,0.9491086006164551,5,0.950478732585907,0.9378604292869568,0.945815920829773,scratch_consensus
716,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_059a78.jpg,pool_059a78.jpg,1,1.0,1,0.9298526644706726,1,0.9302233457565308,1,0.9149227142333984,0.9149227142333984,0.9249995748202006,scratch_consensus
717,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_05a1f8.jpg,pool_05a1f8.jpg,1,1.0,1,0.9548674821853638,1,0.9733489155769348,1,0.9602048397064209,0.9548674821853638,0.9628070791562399,scratch_consensus
728,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_06191f.jpg,pool_06191f.jpg,5,1.0,5,0.9206764101982117,5,0.9355841279029846,5,0.9279045462608337,0.9206764101982117,0.9280550281206766,scratch_consensus
749,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_06eced.jpg,pool_06eced.jpg,1,1.0,1,0.9556455612182617,1,0.947943389415741,1,0.9501618146896362,0.947943389415741,0.9512502551078796,scratch_consensus
762,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_076ad4.jpg,pool_076ad4.jpg,1,1.0,1,0.9477280378341675,1,0.9120935201644897,1,0.9448782205581665,0.9120935201644897,0.9348999261856079,scratch_consensus
771,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_07a3d4.jpg,pool_07a3d4.jpg,1,1.0,1,0.913528323173523,1,0.9380866289138794,1,0.9533244371414185,0.913528323173523,0.9349797964096069,scratch_consensus
