id,image_path,label,label_name,weight,source,confidence,margin
2573,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_534bb4.jpg,1,forest,1.0,hard_boundary_resolved,0.486,0.2544
3098,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_686507.jpg,1,forest,1.0,hard_boundary_resolved,0.4994,0.2723
1843,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_34d136.jpg,1,forest,1.0,hard_boundary_resolved,0.5078,0.3105
4399,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_a043ae.jpg,1,forest,1.0,hard_boundary_resolved,0.5562,0.4115
850,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0b2ac0.jpg,1,forest,1.0,hard_boundary_resolved,0.4692,0.1807
2838,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_5dfec2.jpg,1,forest,1.0,hard_boundary_resolved,0.5027,0.2323
5248,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_c464d5.jpg,1,forest,1.0,hard_boundary_resolved,0.5375,0.301
2418,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_4c5193.jpg,1,forest,1.0,hard_boundary_resolved,0.5786,0.4208
1258,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1c987d.jpg,1,forest,1.0,hard_boundary_resolved,0.5593,0.3879
3262,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_6ea31f.jpg,1,forest,1.0,hard_boundary_resolved,0.4833,0.2512
1627,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_2ca502.jpg,1,forest,1.0,hard_boundary_resolved,0.4757,0.1438
2312,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_47fb3d.jpg,1,forest,1.0,hard_boundary_resolved,0.5245,0.2759
3414,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_752c3b.jpg,1,forest,1.0,hard_boundary_resolved,0.4648,0.1436
2555,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_525d4f.jpg,1,forest,1.0,hard_boundary_resolved,0.4527,0.1049
4798,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_b06e54.jpg,1,forest,1.0,hard_boundary_resolved,0.4662,0.1331
2282,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_46d028.jpg,1,forest,1.0,hard_boundary_resolved,0.5013,0.2516
773,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_07b194.jpg,1,forest,1.0,hard_boundary_resolved,0.4645,0.1041
2928,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_6193b5.jpg,1,forest,1.0,hard_boundary_resolved,0.5449,0.351
1101,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1571df.jpg,1,forest,1.0,hard_boundary_resolved,0.5543,0.3314
3128,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_693e17.jpg,1,forest,1.0,hard_boundary_resolved,0.5032,0.1819
6021,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_e6e39a.jpg,1,forest,1.0,hard_boundary_resolved,0.5853,0.3929
5274,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_c5642b.jpg,1,forest,1.0,hard_boundary_resolved,0.4887,0.1583
6180,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_ed9c25.jpg,1,forest,1.0,hard_boundary_resolved,0.5932,0.3801
889,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0c9cda.jpg,1,forest,1.0,hard_boundary_resolved,0.4843,0.122
1229,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1b0284.jpg,1,forest,1.0,hard_boundary_resolved,0.5486,0.2671
4819,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_b139d2.jpg,1,forest,1.0,hard_boundary_resolved,0.5251,0.2021
