id,image,label,min_conf,source,weight
609,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_003ca5.jpg,4,0.92808604,scratch_consensus_round2,1.0
621,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_00c40a.jpg,5,0.91846186,scratch_consensus_round2,1.0
622,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_00c9ab.jpg,4,0.9176333,scratch_consensus_round2,1.0
629,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_012aae.jpg,0,0.90495044,scratch_consensus_round2,1.0
631,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0144aa.jpg,4,0.8629568,scratch_consensus_round2,1.0
645,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0209a7.jpg,2,0.85702485,scratch_consensus_round2,1.0
650,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0262bd.jpg,3,0.85771954,scratch_consensus_round2,1.0
655,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_02b721.jpg,2,0.8715015,scratch_consensus_round2,1.0
656,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_02ba3e.jpg,1,0.87771976,scratch_consensus_round2,1.0
671,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_035ec6.jpg,0,0.9365161,scratch_consensus_round2,1.0
675,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_03a14b.jpg,4,0.8791345,scratch_consensus_round2,1.0
689,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0498b6.jpg,5,0.92505836,scratch_consensus_round2,1.0
691,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_04a2b5.jpg,5,0.88402,scratch_consensus_round2,1.0
693,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_04a534.jpg,2,0.9165472,scratch_consensus_round2,1.0
705,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0535d3.jpg,5,0.9308154,scratch_consensus_round2,1.0
709,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_055273.jpg,3,0.86555344,scratch_consensus_round2,1.0
710,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_055c32.jpg,4,0.9001476,scratch_consensus_round2,1.0
725,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_060933.jpg,3,0.89127463,scratch_consensus_round2,1.0
729,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_06324e.jpg,3,0.86249256,scratch_consensus_round2,1.0
731,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0635f8.jpg,0,0.8618193,scratch_consensus_round2,1.0
734,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0653cf.jpg,1,0.90355253,scratch_consensus_round2,1.0
736,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0661b4.jpg,1,0.8767497,scratch_consensus_round2,1.0
737,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_066f84.jpg,2,0.9673085,scratch_consensus_round2,1.0
741,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_06a569.jpg,5,0.92475194,scratch_consensus_round2,1.0
750,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_06fbce.jpg,2,0.86373234,scratch_consensus_round2,1.0
751,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_06fee3.jpg,3,0.8670327,scratch_consensus_round2,1.0
763,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_077659.jpg,4,0.89340687,scratch_consensus_round2,1.0
766,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0780c6.jpg,0,0.8641595,scratch_consensus_round2,1.0
775,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_07da54.jpg,4,0.91149926,scratch_consensus_round2,1.0
782,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_083b22.jpg,1,0.89159757,scratch_consensus_round2,1.0
786,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_086a33.jpg,3,0.8642624,scratch_consensus_round2,1.0
789,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0875ce.jpg,0,0.8638993,scratch_consensus_round2,1.0
796,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_08c7bb.jpg,5,0.88296694,scratch_consensus_round2,1.0
800,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_08da35.jpg,5,0.89036185,scratch_consensus_round2,1.0
801,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_08e141.jpg,5,0.9420435,scratch_consensus_round2,1.0
803,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_08ec7a.jpg,0,0.9674699,scratch_consensus_round2,1.0
808,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0941c6.jpg,0,0.85299927,scratch_consensus_round2,1.0
809,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_094924.jpg,4,0.9497126,scratch_consensus_round2,1.0
819,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_09e76d.jpg,0,0.92849356,scratch_consensus_round2,1.0
828,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0a50e8.jpg,5,0.89524496,scratch_consensus_round2,1.0
835,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0a80ad.jpg,4,0.9278071,scratch_consensus_round2,1.0
844,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0ae12e.jpg,2,0.9174156,scratch_consensus_round2,1.0
851,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0b33e7.jpg,5,0.9410464,scratch_consensus_round2,1.0
858,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0b6603.jpg,2,0.88638157,scratch_consensus_round2,1.0
865,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0b9244.jpg,2,0.8768615,scratch_consensus_round2,1.0
866,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0b9a7c.jpg,0,0.9123929,scratch_consensus_round2,1.0
868,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0bbce8.jpg,5,0.8766361,scratch_consensus_round2,1.0
869,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0bc769.jpg,0,0.8727594,scratch_consensus_round2,1.0
876,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0c0a70.jpg,4,0.913174,scratch_consensus_round2,1.0
